LIBID,LIBNAME,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,HRS_OPEN,VISITS,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,WEBVISIT
AK0052-002,KEGOAYAH KOZGA LIBRARY,CI,SO,Y,CI1,3662,3662,1,0,1,2.5,3.5,302715,12015,11250,2958,328938,154663,92233,246896,15895,1076,1556,18527,103558,368981,0,23963,20844,458,13099,1745,0,2040,27000,2835,15712,11349,258,15454,15,25,135,123,4,3406,3033,201,6,6400,5000,-1
AK0055-002,PALMER PUBLIC LIBRARY,CO,SO,Y,CO1,27036,27036,1,0,2,5.25,7.25,616257,7000,1250,0,624507,317663,121556,439219,44495,0,0,44495,132543,616257,0,73070,20846,4322,13486,5990,0,2196,110732,14218,153571,74163,21344,132227,187,63,844,530,161,26844,23499,1544,27,11628,15880,1044011
AK0056-002,PELICAN PUBLIC LIBRARY,CI,SO,Y,CI1,68,68,1,0,0.28,0,0.28,30087,7348,0,0,37435,-9,-9,-9,1268,0,2835,4103,-9,35637,35637,9729,20844,0,13099,4550,0,988,4353,391,4116,558,348,3768,0,0,26,24,2,105,90,15,3,3077,7358,-1
AK0057-002,PETERSBURG PUBLIC LIBRARY,CI,SO,Y,CI1,3198,3198,1,0,3,2.8,5.8,419292,7000,11250,19036,456578,202279,90609,292888,16078,1675,14236,31989,97685,422562,0,26381,20844,1253,13099,9674,0,2600,58935,6213,82222,977,4744,77478,0,10,376,152,112,4672,2658,496,22,9886,13000,27510
AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,CI,SO,Y,CI1,142,142,1,0,0.38,0.13,0.51,8147,7000,0,1060,16207,-9,-9,-9,1307,0,1658,2965,-9,16208,0,10486,0,245,0,1673,0,326,2437,160,3736,336,0,3736,0,371,129,114,8,391,370,14,5,1953,954,-1
AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,MJ,SO,Y,CI1,390,390,1,0,0.5,0.25,0.75,22000,7000,0,0,29000,-9,-9,-9,3500,0,0,3500,-9,38795,110,12757,0,0,0,0,0,350,700,200,125,110,0,125,0,0,0,0,0,0,0,0,4,225,300,-1
AK0064-002,SELDOVIA PUBLIC LIBRARY,NP,SO,Y,CI1,220,220,1,0,0,0.13,0.13,0,7000,1212,3245,11457,-9,-9,-9,2419,201,1684,4304,-9,7000,0,9324,0,439,0,2417,0,854,4489,368,4236,1122,0,4236,0,9,48,20,3,475,232,4,9,576,804,1984
AK0065-002,SEWARD COMMUNITY LIBRARY AND MUSEUM,CI,SO,Y,CI1,2584,2584,1,0,1,4,5,570075,10404,4752,0,585231,215573,122709,338282,14422,0,3569,17991,214678,570951,0,25682,20844,1577,13099,4764,0,2403,74828,8425,40035,10965,6065,33970,23,95,311,164,2,6752,1890,221,14,11041,0,-1
AK0067-002,SITKA PUBLIC LIBRARY,CO,SO,Y,CO1,8652,8652,1,0,5,2.37,7.37,936635,7000,1226,5308,950169,335068,225975,561043,54930,4325,14915,74170,271001,906214,0,58037,20844,3860,13099,7464,0,3016,166697,10272,128000,51821,7343,120657,302,217,310,181,46,7002,3895,657,12,34477,22000,-1
AK0068-002,SKAGWAY PUBLIC LIBRARY,CI,SO,Y,CI1,1088,1088,1,0,1,1,2,247133,7000,0,0,254133,-9,-9,-9,9600,1600,1010,12210,-9,254134,0,9333,20844,229,13099,1488,0,2660,31922,1542,14154,3819,1285,12869,46,147,121,57,44,1284,790,407,5,5519,4095,-1
AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,CI,SO,Y,CI1,4327,4327,1,0,3,4.61,7.61,681756,8837,2598,28928,722119,379411,127071,506482,51653,5520,8416,65589,157010,729081,0,44209,20844,3698,13099,4521,0,2704,112984,9439,148806,69777,18676,130130,31,15,507,304,81,10574,8094,982,13,15495,23000,-1
AK0070-002,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,CO,SO,Y,CO1,3473,3473,1,0,1.75,0.41,2.16,301622,7000,3100,0,311722,153251,83862,237113,14265,0,2361,16626,54883,308622,0,17547,20844,1069,13486,2370,0,2132,23692,1380,16524,6645,2489,14035,48,25,382,155,24,6579,4484,195,8,2752,1362,-1
AK0071-001,TAKOTNA COMMUNITY LIBRARY,CC,SO,Y,CI1,72,72,1,0,0.25,0,0.25,7000,7000,0,0,14000,-9,-9,-9,3899,0,0,3899,-9,14115,0,789,20844,26,1021,120,2,480,300,52,240,30,0,240,0,0,26,20,5,178,160,15,2,25,0,0
AK0072-002,TALKEETNA PUBLIC LIBRARY,CO,SO,Y,CO1,15566,15566,1,0,1.88,0.84,2.72,417232,15384,2500,0,435116,153830,92314,246144,38000,0,1500,39500,92756,378400,0,20881,20844,1108,13099,4469,0,2184,49276,5750,149200,34930,15011,134189,25,42,344,138,47,6148,4564,550,14,4697,7232,-1
AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,NP,SO,Y,CI1,216,216,1,0,0.26,0,0.26,5648,6687,0,0,12335,-9,-9,-9,1164,0,1920,3084,-9,15826,267,9334,155,250,0,837,0,500,1739,234,2112,500,94,2018,7,27,18,16,5,92,77,10,3,428,2193,-1
AK0074-002,DERMOTT O`TOOLE MEMORIAL LIBRARY,CI,SO,Y,CI1,144,144,1,0,0.25,0,0.25,12000,7348,0,0,19348,-9,-9,-9,2490,286,2186,4962,-9,19102,0,6954,20844,0,13099,1846,0,500,1377,229,2630,527,204,2426,0,48,8,7,0,50,25,0,2,306,184,-1
AK0075-002,TOK COMMUNITY LIBRARY,NP,SO,N,CI1,1234,1234,1,0,0,0,0,0,12891,0,12911,25802,-9,-9,-9,2456,1475,580,4511,-9,18824,0,6526,20844,732,13099,1151,0,1371,5519,399,4086,951,731,3355,0,33,2,2,0,162,162,0,7,1800,4000,1500
AK0077-002,VALDEZ CONSORTIUM LIBRARY,MJ,SO,Y,CI1,3903,3903,1,0,3,2.78,5.78,627423,7440,2500,19500,656863,263726,141269,404995,23090,3150,3148,29388,105436,539819,0,54353,20844,2488,13099,3429,0,2860,29776,3574,24358,8150,3117,21241,100,8,232,200,28,3765,3303,143,8,2590,2590,-1
AK0078-002,WASILLA PUBLIC LIBRARY,CO,SO,Y,CO1,42817,42817,1,0,3,7,10,1214717,7000,1163,35401,1258281,559866,330683,890549,81316,5589,21798,108703,258939,1258191,24850,75288,20848,3993,13210,6964,0,1953,128184,16502,228744,117565,38146,190598,162,134,351,228,73,16296,15138,847,43,27604,7223,34219
AK0080-002,WILLOW PUBLIC LIBRARY,CO,SO,Y,CO1,5870,5870,1,0,1.88,0.6,2.48,314597,7000,1250,0,322847,142191,90888,233079,15890,0,0,15890,61767,310736,0,26498,20844,1610,13099,3712,0,2338,32876,2137,24593,6474,3822,20771,172,82,112,41,7,1995,1227,130,11,4564,9092,-1
AK0081-002,IRENE INGLE PUBLIC LIBRARY,CO,SO,Y,CO1,2426,2426,1,0,1,1.27,2.27,309132,7000,9655,10344,336131,123796,81463,205259,18750,1000,0,19750,38978,263987,0,37971,20844,570,13099,2963,0,1910,26676,2070,28583,6697,1528,27055,0,208,53,46,2,1424,1324,41,9,4676,16038,-1
AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,NL,SO,N,CI1,724,724,1,0,0,0.97,0.97,27586,7405,0,0,34991,-9,-9,-9,3903,0,0,3903,-9,49563,895,8680,0,87,0,353,0,576,6411,326,2947,1677,0,2947,22,2,61,48,6,2329,592,40,4,1435,0,-1
AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,NP,SO,N,CI1,317,317,1,0,0,0,0,0,11000,0,0,11000,-9,-9,-9,2050,250,1200,3500,-9,7532,0,8363,20844,690,13099,3059,0,780,3273,607,2606,175,786,1820,0,22,48,33,10,795,579,95,4,300,5788,0
AK0094-010,TUZZY CONSORTIUM LIBRARY,MJ,MO,Y,CO1,9925,9925,1,7,7,5.5,12.5,728220,56000,80000,500000,1364220,530432,287755,818187,33000,30954,6113,70067,46071,934325,0,41390,63658,1208,13143,7577,0,5392,62745,3093,42586,1782,1290,41296,175,210,96,74,0,2178,2032,0,36,13076,7487,-1
AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,NL,SO,N,CI1,420,420,1,0,0.88,0,0.88,26294,7405,0,2041,35740,-9,-9,-9,2264,1489,493,4246,-9,38411,519,13662,0,522,0,552,0,480,6944,644,2317,973,0,2317,13,12,49,28,4,1073,343,100,3,833,0,-1
AK0099-002,MOOSE PASS PUBLIC LIBRARY,NP,SO,N,CI1,224,224,1,0,0,0,0,2000,8391,1250,5,11646,-9,-9,-9,3785,0,132,3917,-9,7430,0,8940,0,113,0,953,0,500,1914,312,701,331,0,701,0,45,133,102,0,1499,1026,0,3,631,0,0
AK0100-002,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,CI,SO,Y,CI1,91,91,1,0,0,0.25,0.25,7000,0,0,0,7000,-9,-9,-9,3500,0,0,3500,-9,16420,0,5221,0,0,0,0,0,480,1930,34,70,70,0,70,0,0,0,0,0,0,0,0,7,375,189,-1
AK0101-002,SAND POINT COMMUNITY/SCHOOL LIBRARY,CI,SO,Y,CI1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
AK0102-002,EGEGIK VILLAGE LIBRARY,NL,SO,Y,CI1,77,77,1,0,1,0,1,18331,7000,0,0,25331,-9,-9,-9,526,0,3063,3589,-9,28419,0,4300,0,39,0,1935,0,1040,400,36,365,65,0,365,0,0,4,4,0,10,10,0,2,4,50,0
AK0103-002,TRAPPER CREEK PUBLIC LIBRARY,CO,SO,Y,CO1,2247,2247,1,0,0.75,0.48,1.23,178422,8384,0,0,186806,-9,-9,-9,17167,0,1613,18780,-9,177922,0,14007,20846,1395,13486,3349,0,1300,5462,394,10903,3078,1849,9054,0,9,89,74,9,748,554,45,9,1473,1908,-1
AK0104-002,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,CI,SO,Y,CI1,168,168,1,0,0.25,0,0.25,7000,7000,0,0,14000,-9,-9,-9,3500,0,0,3500,-9,14000,0,6425,0,0,0,35,0,480,1960,154,727,458,0,727,0,0,222,187,35,1527,1247,280,4,1975,365,-1
AK0113-002,OUZINKIE TRIBAL MEDIA CENTER,NL,SO,Y,CI1,154,154,1,0,0.35,0,0.35,7000,7658,0,100,14758,-9,-9,-9,870,245,2431,3546,-9,16677,0,2260,0,0,0,730,0,1700,3100,122,1803,516,0,1803,0,0,2,2,0,6,6,0,4,3400,1800,-1
AK0115-002,UNALASKA PUBLIC LIBRARY,CI,SO,Y,CI1,4333,4333,1,0,1,4,5,702577,34099,8218,0,744894,282177,173444,455621,39959,9060,15901,64920,184427,704968,92398,23475,20844,165,13099,6691,0,3401,51679,10078,88536,23327,812,87724,87,215,165,122,5,2640,2092,85,17,12174,36672,-1
AK0116-002,ANIAK PUBLIC LIBRARY,CI,SO,Y,CI1,485,485,1,0,0.3,0,0.3,17796,7000,10000,0,34796,-9,-9,-9,1275,500,1725,3500,-9,56236,0,2122,20844,0,13099,694,0,576,1800,140,1244,439,114,1130,0,50,15,14,0,155,130,0,6,1000,1000,-1
AK0117-002,HYDER PUBLIC LIBRARY,NP,SO,N,CI1,80,80,1,0,0,0,0,0,15640,0,9240,24880,-9,-9,-9,2084,468,1416,3968,-9,6931,0,8891,0,10,0,2152,0,1048,2035,76,1964,839,0,1964,0,0,0,0,0,0,0,0,6,2035,500,-1
AK0120-002,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,CI,SO,Y,CI1,84,84,1,0,0,0.25,0.25,7000,7000,0,0,14000,-9,-9,-9,3500,0,0,3500,-9,15855,0,4500,0,60,0,425,0,480,2000,70,509,390,0,509,0,0,94,55,34,916,521,205,4,841,0,0
AK0121-002,BLACKWELL COMMUNITY/SCHOOL LIBRARY,CI,SO,Y,CI1,80,80,1,0,0.25,0,0.25,7000,7000,0,0,14000,-9,-9,-9,3500,0,0,3500,-9,9008,0,4507,0,120,40,165,0,480,1041,75,23,185,0,23,0,0,44,33,8,208,160,41,5,1051,0,-1
AK0122-002,DAVID LOUIS COMMUNITY/SCHOOL LIBRARY,CI,SO,Y,CI1,205,205,1,0,0,0.25,0.25,7000,7000,0,0,14000,-9,-9,-9,2430,0,0,2430,-9,16798,0,784,0,0,0,260,0,480,460,162,12,2,0,12,0,0,40,40,0,90,90,0,5,198,25,0
AK0124-002,LAKE MINCHUMINA COMMUNITY LIBRARY,NP,SO,N,CI1,9,9,1,0,0,0,0,0,7000,0,1400,8400,-9,-9,-9,1961,293,1246,3500,-9,7001,0,5200,0,200,0,1100,0,700,1980,60,2408,1200,0,2408,0,8,0,0,0,0,0,0,2,300,800,-1
AK0126-002,IGIUGIG TRIBAL LIBRARY,NL,SO,Y,CI1,52,52,1,0,0.45,0.25,0.7,9815,7000,11250,0,28065,-9,-9,-9,3489,85,160,3734,-9,27200,0,11470,20844,88,13099,270,0,600,1164,70,642,320,28,614,0,0,32,25,0,264,237,0,2,421,1750,-1
AK0127-002,COFFMAN COVE COMMUNITY LIBRARY,CI,SO,N,CI1,168,168,1,0,0,0,0,0,7000,742,855,8597,-9,-9,-9,1378,578,0,1956,-9,7036,0,18759,20844,26,13099,816,0,1664,1686,323,1608,294,138,1470,0,10,71,40,1,586,388,1,0,0,0,0
AK0130-002,THORNE BAY PUBLIC LIBRARY,CI,SO,Y,CI1,524,524,1,0,0.25,0,0.25,750,10500,2500,6987,20737,-9,-9,-9,2847,540,300,3687,-9,18292,0,4600,20844,119,13099,1700,0,2808,3500,184,3944,903,221,3723,0,40,78,14,5,1179,214,41,4,870,1500,-1
AK0134-001,WHALE PASS COMMUNITY LIBRARY,CI,SO,N,CI1,57,57,1,0,0,0,0,0,10248,0,945,11193,-9,-9,-9,1158,0,2540,3698,-9,7926,0,7054,20844,112,13099,1583,0,678,2049,127,2427,6,135,2292,0,6,33,33,0,250,250,0,4,160,1175,-1
AK0135-001,TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER,NP,SO,Y,CI1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
AK0137-001,KLUKWAN COMMUNITY/SCHOOL LIBRARY,MJ,SO,Y,CI1,94,94,1,0,1.3,0,1.3,3096,7000,72211,0,82307,-9,-9,-9,2278,0,1230,3508,-9,75920,0,5775,0,124,0,1661,0,2340,672,268,2265,919,0,2265,0,5,41,30,8,584,510,51,4,10,17,864
AK0139-001,SAMUEL B. FOSS LIBRARY,CI,SO,Y,CI1,33,33,1,0,0.25,0.3,0.55,6166,11000,7000,0,24166,-9,-9,-9,1272,447,2685,4404,-9,28039,0,3759,20844,0,13099,781,0,520,924,80,1374,160,67,1307,0,3,4,3,0,113,96,0,2,217,563,-1
AK0140-001,EDNA BAY COMMUNITY LIBRARY,NP,SO,N,CI1,43,43,1,0,0,0,0,0,7000,0,163,7163,-9,-9,-9,1704,70,2043,3817,-9,7001,0,10715,20844,41,13099,550,0,512,594,28,881,9,52,829,0,20,12,6,0,124,12,0,2,136,170,-1
100-000,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,MJ,SO,N,MC1,64502,64502,1,0,3,0,3,89352,85647,0,71680,246679,109358,20191,129549,23896,6000,0,29896,90840,250285,0,0,42194,0,9234,0,613,2340,0,0,0,0,0,0,9,17,0,0,0,0,0,0,5,0,0,8996
100-001,ARLEY PUBLIC LIBRARY,CI,SO,Y,CI1,346,346,1,0,0.5,0.5,1,37802,0,4000,3212,45014,-9,-9,-9,5287,1500,1101,7888,-9,45504,0,10741,42194,601,9234,603,613,1820,9210,1685,8762,1026,1552,7210,0,3,65,6,0,626,352,0,5,1149,3933,8996
100-004,DOUBLE SPRINGS PUBLIC LIBRARY,CI,SO,Y,CI1,1036,1036,1,0,1,0.6,1.6,58707,0,4000,19309,82016,-9,-9,-9,3680,1500,0,5180,-9,67513,0,11581,42194,59,9234,101,613,2210,7591,1673,4756,1032,969,3787,0,0,30,7,0,530,294,0,5,1378,536,8996
100-005,HALEYVILLE PUBLIC LIBRARY,CI,SO,Y,CI1,3982,3982,1,0,2,0,2,125002,0,4000,5138,134140,-9,-9,-9,5994,1500,353,7847,-9,134124,0,13374,42194,321,9234,648,613,2496,8736,3196,15167,3272,4941,10226,0,4,51,15,0,740,464,0,5,2020,1414,8996
100-006,JASPER PUBLIC LIBRARY,CI,SO,Y,CI1,13618,13618,1,0,4.2,1.1,5.3,201941,0,10000,0,211941,93350,15873,109223,20504,2500,3989,26993,75725,211941,5400,66577,42194,951,9234,6901,613,2080,38952,14123,67425,18950,12598,54827,12,16,75,33,0,1700,1060,0,18,7356,2312,8996
100-008,SUMITON PUBLIC LIBRARY,CI,SO,Y,CI1,2368,2368,1,0,1,0.8,1.8,86115,0,4000,6719,96834,-9,-9,-9,5446,1500,0,6946,-9,95165,0,11720,42194,181,9234,695,613,2340,9254,2356,5801,1256,1552,4249,0,2,15,14,0,337,319,0,4,1457,546,8996
101-000,CHEAHA REGIONAL LIBRARY,MJ,MA,Y,MC2,99284,99284,1,0,1,1,2,8900,118457,3000,0,130357,-9,-9,-9,4900,5710,70,10680,-9,80504,0,22294,10500,850,4000,625,29,3560,2250,6672,140503,11691,107131,33372,100,371,27,12,0,107,42,0,6,245,12,456
101-001,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,CI,SO,Y,CI1,5934,5934,1,0,1,1,2,137000,6103,0,3821,146924,-9,-9,-9,6746,4000,4208,14954,-9,122845,0,16471,32804,397,6895,263,609,2236,28760,8401,20931,3907,2524,18407,0,0,304,114,0,4290,2344,0,12,17897,5789,6879
101-002,ASHLAND CITY PUBLIC LIBRARY,CI,SO,Y,CI1,1932,1932,1,0,1,1,2,75325,2662,0,7307,85294,-9,-9,-9,5877,1500,282,7659,-9,100107,0,23029,33670,43,18223,1418,613,2241,8971,2142,13445,5104,1490,11955,1,1,169,112,4,1379,1099,22,6,2545,88,-1
999-028,SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,CI,SO,Y,CI1,12264,12264,1,0,2,11.2,13.2,677191,15894,12952,53688,759725,415003,81632,496635,24181,5268,18853,48302,205533,750470,0,101712,38908,809,8615,110,615,2756,62724,36474,203019,61854,10743,192276,14,14,400,175,23,15500,7203,800,62,23260,3921,47545
101-004,CHEROKEE COUNTY PUBLIC LIBRARY,CO,SO,Y,CO1,3498,3498,1,0,1.8,1.4,3.2,210248,10633,0,25163,246044,98460,40410,138870,12355,0,3825,16180,68398,223448,0,25356,1655,2071,631,11,0,1960,44222,9653,88883,10188,518,88365,22,97,444,75,40,3593,1506,115,22,9913,4250,4053
101-005,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,CI,SO,Y,CI1,4905,4905,1,0,2,3,5,145095,4777,0,31577,181449,86775,26032,112807,23110,1500,6647,31257,27817,171881,0,56900,49094,1249,10239,2063,613,2490,40342,15120,26842,8650,928,25914,44,16,56,9,0,656,241,0,17,5952,525,3425
101-006,LINCOLN PUBLIC LIBRARY,CI,SO,Y,CI1,6664,6664,1,0,3,0,3,303841,5731,0,5100,314672,85590,46275,131865,8731,14000,0,22731,131604,286200,0,18315,49094,168,10239,126,613,2150,9479,2087,98564,33327,92135,6429,20,15,51,38,0,10216,9974,0,17,4994,5430,754
101-007,LINEVILLE PUBLIC LIBRARY,CI,SO,Y,CI1,2263,2263,1,0,1,0,1,29775,2204,0,1748,33727,-9,-9,-9,2607,995,938,4540,-9,34183,0,18881,0,540,0,113,0,1743,4607,1187,7205,724,0,7205,10,18,6,5,0,158,122,0,3,2195,38,46
101-008,HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY,CI,SO,Y,CI1,3425,3425,1,0,0.55,0.55,1.1,25600,2945,0,1830,30375,-9,-9,-9,2195,0,131,2326,-9,26969,0,17930,0,348,0,1368,0,1214,4227,5649,5211,1865,0,5211,3,5,1,1,0,35,35,0,7,1125,57,0
101-009,OXFORD PUBLIC LIBRARY,CI,SO,Y,CI1,21180,21180,1,0,1,7.8,8.8,495502,22063,0,0,517565,275000,0,275000,18265,4964,3274,26503,35000,336503,0,64678,35193,3999,6889,4214,609,2496,60000,25473,86584,39890,5725,80859,45,65,1253,638,8,7366,5064,8,24,7463,6812,35434
999-070,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,CI,SO,Y,CI1,15426,15426,1,0,1,6,7,550513,18815,2500,9234,581062,255024,25282,280306,28220,2000,500,30720,142883,453909,0,76153,42197,588,9234,130,25,2384,68123,21104,67645,16465,618,67027,90,27,723,700,3,4485,4050,35,29,8509,756,9373
999-033,ABBEVILLE MEMORIAL LIBRARY,CI,SO,Y,CI1,7515,7515,1,0,1,1.82,2.82,128020,10202,0,13581,151803,74072,26347,100419,7843,3000,2905,13748,26202,140369,0,24217,32811,688,6895,1179,609,1992,18098,4525,20489,4180,1448,19041,0,0,41,6,0,1055,385,0,19,4973,966,4154
999-035,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,CI,SO,Y,CI1,9632,9632,1,0,3,0,3,121700,10258,0,3358,135316,76900,15244,92144,6519,3000,2653,12172,32969,137285,0,13612,42054,555,9182,631,613,2184,26311,5346,24259,8110,3355,20904,0,0,78,21,0,1822,1256,0,21,2399,4800,6710
999-061,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,CI,SO,Y,CI1,6026,6026,1,0,0.5,3.85,4.35,240718,6413,0,8238,255369,108899,46616,155515,32969,3000,2206,38175,54085,247775,0,14928,42103,57,9193,1650,613,2363,11880,3613,11218,4945,729,10489,0,0,232,156,33,3583,2326,361,12,2323,4578,15193
999-079,OZARK - DALE COUNTY PUBLIC LIBRARY,MJ,SO,Y,CO2,37038,37038,1,0,2,3.56,5.56,155953,36712,0,66936,259601,167708,12576,180284,11017,0,1939,12956,47901,241141,67076,35617,49094,1068,10239,1150,613,2132,141610,12218,35100,8756,4367,30733,82,56,504,116,34,11219,1698,1012,24,12479,3045,14121
517-001,CLIO - ELTON B. STEPHENS LIBRARY,CI,SO,Y,CI1,3578,3578,1,0,1,0,1,7540,3304,0,4566,15410,-9,-9,-9,1934,0,538,2472,-9,10012,0,25801,0,290,0,375,0,1040,19560,1590,53519,5003,0,53519,0,0,8,4,4,21,7,14,3,35,35,35
517-003,LOUISVILLE PUBLIC LIBRARY,CI,SO,Y,CI1,2571,2571,1,0,0.6,0,0.6,4159,4441,0,0,8600,-9,-9,-9,562,0,0,562,-9,6533,0,4396,0,0,0,15,0,900,295,225,366,140,0,366,0,0,1,1,0,49,49,0,2,126,0,-1
999-077,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,CI,SO,Y,CI1,2362,2362,1,0,0.88,0.7,1.58,37899,6748,0,8516,53163,-9,-9,-9,727,0,0,727,-9,29490,0,9221,0,138,0,601,0,1800,12422,2853,3043,567,0,3043,0,0,20,8,2,770,570,14,18,7002,4870,0
999-078,NEWTON PUBLIC LIBRARY,CI,SO,Y,CI1,2094,2094,1,0,0.8,0.4,1.2,26605,1934,0,3207,31746,-9,-9,-9,1919,0,1670,3589,-9,39218,0,9982,0,60,2,253,2,1560,5981,1022,19021,1620,403,18618,1,21,157,6,73,1022,32,227,8,1535,285,1178
517-004,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,CI,SO,Y,CI2,4974,4974,1,0,0.63,0,0.63,13810,4594,0,4566,22970,-9,-9,-9,2996,0,200,3196,-9,21960,0,16713,0,224,0,319,0,1250,3924,2666,567,73,0,567,0,0,10,10,0,71,71,0,12,2345,1812,0
999-060,TROY PUBLIC LIBRARY,CI,SO,Y,CO2,27241,27241,1,0,7,4,11,643450,28881,0,5437,677768,352900,118000,470900,52386,12165,14898,79449,55863,606212,1000,63093,42428,2026,6716,3418,610,2600,103922,24274,226540,89734,6111,220429,0,397,109,47,15,2901,2117,464,16,6707,7428,3400
999-058,UNION SPRINGS PUBLIC LIBRARY,MJ,SO,Y,CO1,10309,10309,1,0,0.6,0.9,1.5,40000,14403,0,5020,59423,-9,-9,-9,6355,0,0,6355,-9,49569,0,13547,0,0,0,0,0,1350,8360,3229,2084,580,0,2084,0,0,60,30,30,248,127,58,12,5816,479,-1
103-001,ANDALUSIA PUBLIC LIBRARY,CI,SO,Y,CI1,17914,17914,1,0,7,2,9,320563,16547,0,2000,339110,193707,68481,262188,19500,0,1700,21200,47246,330634,0,56922,0,1593,0,1762,0,2499,35870,46931,56532,18161,0,56532,140,887,368,286,29,9497,9162,72,29,35268,5979,183
103-002,BRANTLEY PUBLIC LIBRARY,CI,SO,Y,CI1,3469,3469,1,0,2,0,2,28500,5270,0,0,33770,-9,-9,-9,3804,200,0,4004,-9,28504,0,7074,0,0,0,0,0,832,3400,1829,15533,4925,0,15533,0,0,3,1,0,85,35,0,4,1200,2200,0
999-034,ELBA PUBLIC LIBRARY,CI,SO,Y,CI1,9801,9801,1,0,1,1,2,95852,9053,0,16722,121627,-9,-9,-9,14725,3000,410,18135,-9,111709,0,20191,32803,1183,6895,977,609,2133,10239,3788,16134,3744,1182,14952,0,0,204,108,0,1810,1109,0,6,4826,3329,500
103-004,GENEVA - EMMA KNOX KENAN LIBRARY,CI,SO,Y,CI1,8278,8278,1,0,2,0,2,108257,9712,0,2417,120386,-9,-9,-9,10165,0,0,10165,-9,116501,4010,15773,0,187,0,881,0,1820,10387,6850,7608,2169,0,7608,0,0,24,7,0,131,55,0,4,2292,400,-1
999-041,ENTERPRISE PUBLIC LIBRARY,CI,MO,Y,CO2,42073,42073,1,0,2,3,5,141000,41362,20000,52122,254484,135647,10788,146435,17365,3561,8977,29903,78147,254485,0,45941,42648,1637,9388,2562,613,2525,86101,29664,88523,40881,13474,75049,0,31,224,80,83,5445,1838,613,28,22562,3924,38171
103-006,FLORALA PUBLIC LIBRARY,CI,SO,Y,CI1,6301,6301,1,0,1,0,1,47410,8931,0,5505,61846,-9,-9,-9,4438,1500,1524,7462,-9,60432,0,19157,35079,420,6859,2280,609,1984,18805,3524,18338,6035,1721,16617,0,0,240,48,0,1328,494,0,10,2473,824,-1
103-007,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,CI,SO,Y,CI1,6506,6506,1,0,1,1,2,105043,8510,0,6226,119779,-9,-9,-9,13333,3000,2162,18495,-9,116514,0,21788,42060,1079,9170,485,613,2239,9701,1954,18380,3772,2189,16191,0,4,78,16,4,850,548,35,5,2040,670,-1
