LIBID,LIBNAME,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,HRS_OPEN,VISITS,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,WEBVISIT
GA0040,CONYERS-ROCKDALE LIBRARY SYSTEM,CO,SO,Y,CO1,94077,94077,1,0,2,22,24,1065246,257253,0,1147269,2469768,611516,224612,836128,78728,14009,4373,97110,366088,1299326,312020,99689,3226,2278,1057,9074,0,2691,159567,42505,191591,74200,4369,187222,286,11,293,154,13,6240,4865,208,100,56962,24783,55678
GA0041,SCREVEN-JENKINS REGIONAL LIBRARY SYSTEM,MJ,MO,Y,MC1,23633,23633,1,1,2,5.95,7.95,325360,245582,0,264618,835560,286990,116017,403007,15324,860,6066,22250,235338,660595,29486,90149,12833,1083,20636,4794,0,4002,80478,8278,45246,15908,4871,40375,27,1,616,462,44,9933,8462,271,38,15936,1260,33430
GA0042,FLINT RIVER REGIONAL LIBRARY SYSTEM,MJ,MO,Y,MC1,270709,270709,1,8,21,34.88,55.88,3431390,1112491,500,158233,4702614,2498777,704348,3203125,395867,43151,49999,489017,1044411,4736553,85956,438791,12961,15240,20635,21239,0,20312,948280,106282,1017267,450552,81410,935857,99,17,2923,1549,123,110735,71105,1777,213,184981,207785,2005000
GA0043,LAKE BLACKSHEAR REGIONAL LIBRARY SYSTEM,MJ,MO,Y,MC1,73643,73643,1,5,3,13.88,16.88,614213,496607,0,133682,1244502,585934,225826,811760,71489,3046,7148,81683,290141,1183584,0,140958,12833,2464,20635,4751,0,10987,100378,21398,92701,32234,7222,85479,1679,0,311,122,0,7688,3388,0,106,116265,58750,84928
GA0044,KINCHAFOONEE REGIONAL LIBRARY SYSTEM,MJ,MO,Y,MC1,29784,29784,1,5,2,8.02,10.02,318863,491482,0,123806,934151,411824,156601,568425,32859,1295,6793,40947,340205,949577,0,81694,12833,817,20635,8541,0,9994,98961,10845,48268,11507,1025,47243,140,11,530,242,0,5206,3397,0,69,18302,21703,4613
GA0045,THOMAS COUNTY PUBLIC LIBRARY SYSTEM,CO,MO,Y,CO1,46779,46779,1,5,1,25,26,903612,166616,0,114646,1184874,526959,200614,727573,74997,3347,6908,85252,348347,1161172,0,116135,12833,3146,20635,8656,0,7018,182272,20063,145952,47472,8536,137416,408,154,1523,704,146,12902,5382,1051,88,49518,24141,22675
GA0046,COASTAL PLAIN REGIONAL LIBRARY,MJ,MO,Y,MC1,113957,113957,1,6,5,26.21,31.21,1104687,783039,15375,268824,2171925,1056443,436039,1492482,75229,861,6966,83056,527126,2102664,8650,292540,12849,710,20650,30891,0,15290,223902,39908,265415,85604,15851,249564,206,11,1141,767,272,51463,35780,13354,120,69000,225448,45484
GA0047,MOUNTAIN REGIONAL LIBRARY SYSTEM,MJ,MO,Y,MC1,58034,58034,1,3,5.5,13.86,19.36,660945,353068,0,60448,1074461,328505,131957,460462,35223,5383,860,41466,146381,648309,96759,144905,12833,4467,20635,10544,0,8833,260688,18888,227115,57797,20896,206219,360,32,309,182,0,7463,5034,0,84,23370,20245,0
GA0048,TROUP-HARRIS REGIONAL LIBRARY,MJ,MO,Y,MC1,108684,108684,1,2,4,18,22,874897,371302,0,60445,1306644,660007,287349,947356,124484,4505,0,128989,342730,1419075,126448,143094,12833,3943,20635,11543,0,7214,195006,27413,267888,123115,15624,252264,127,19,736,465,54,12301,10030,344,107,79944,32536,52660
GA0049,CHEROKEE REGIONAL LIBRARY SYSTEM,MJ,MO,Y,MC1,86315,86315,1,3,2,13.81,15.81,702221,376761,22035,204872,1305889,559343,198257,757600,55622,4780,3017,63419,408215,1229234,10595,137108,12833,3007,20635,10665,0,6210,144068,27394,214028,87951,20838,193190,0,0,922,538,76,29386,21804,629,211,33229,86590,177929
GA0050,NORTHWEST GEORGIA REGIONAL LIBRARY SYSTEM,MJ,MO,Y,MC1,206617,206617,1,2,3,21.88,24.88,1148887,1482859,0,595732,3227478,889886,395106,1284992,58115,26206,21780,106101,769986,2161079,0,185621,14036,3988,21150,14618,0,6490,247849,34800,279477,112781,20884,258593,128,15,861,427,139,25068,18195,1090,146,36968,78380,65565
GA0051,BARTRAM TRAIL REGIONAL LIBRARY SYSTEM,MJ,MO,Y,MC1,33522,33522,1,2,3,7.58,10.58,373612,534838,0,90847,999297,370114,115722,485836,29615,1557,1457,32629,426059,944524,0,111423,12990,1149,20659,2785,0,6443,58779,10598,60242,22957,4203,56039,2,0,732,226,5,21073,9470,87,45,21585,6906,21853
GA0052,OHOOPEE REGIONAL LIBRARY SYSTEM,MJ,MO,Y,MC1,79829,79829,1,6,4,6,10,317588,523960,0,51267,892815,430323,167781,598104,34032,4716,6220,44968,191492,834564,0,178128,12833,2156,20635,7488,0,11848,112965,16825,94425,39443,6593,87832,160,7,894,429,80,15398,8219,717,52,42455,12745,19298
GA0053,OKEFENOKEE REGIONAL LIBRARY SYSTEM,MJ,MO,Y,MC1,94603,94603,1,4,4,8.05,12.05,548998,711120,0,99168,1359286,632864,271523,904387,47595,7515,17226,72336,321737,1298460,0,98506,12833,2509,20635,12469,0,9669,121087,27041,144075,58018,9519,134556,20,2,994,492,44,19486,11056,653,174,77605,30849,147179
GA0054,HENRY COUNTY LIBRARY SYSTEM,CO,MO,Y,CO1,237005,237005,1,4,10,44.5,54.5,2286246,488296,500,271635,3046677,1806661,731453,2538114,215309,73973,19905,309187,494243,3341544,0,264302,18462,7531,27326,5158,2104,10201,290801,88609,419324,216489,61629,357695,226,6,2641,1076,565,50819,31367,7465,177,86327,49374,88448
